;query;answer
506207;what makes tides occur;It occurs just after the first and third quarters of the moon, when there is least difference between high tide and low tide.
509119;what is the daily rise and fall of sea level;It is called the tide. The tides are caused by the moon's gravitational pull on earth. So, when the moon is facing a certain side of the earth, it literally pulls the water towards it.
509182;where are the biggest waves in the world;The biggest waves in the world are located into the beaches of Praia do Norte in Nazare.
511839;what is used as evidence for sea-floor spreading;No Answer Present.
512122;what is turtle's first word?;Turtle's first word is bean.
512254;where is petroleum found;Petroleum is found in Saudi Arabia, Venezuela, Canada, Iran and Iraq.
513688;what type of habitat is the ocean;Marine habitats
517407;cost of turtle trip zante;€25 Adults, €13 children aged 4 to 12.
520829;what kind of education does one need for to be a petroleum engineer;A bachelor's degree in petroleum engineering.
521600;which type of tides have the largest range;Spring tide
523355;why are oil and natural gas usually found together;Oil and natural gas are produced by the same geological process according fossil fuel suggestion: anaerobic decay of organic matter deep under the Earth's surface. As a consequence, oil and natural gas are often found together.
526523;what is the biggest source of pollution in the ocean;One of the biggest sources of pollution in the Ocean is called nonpoint source pollution, which occurs as a result of runoff. Nonpoint source pollution includes many small sources, like septic tanks, cars, trucks, and boats, plus larger sources, such as farms, livestock ranches, and timber harvest areas.
526793;what is tidal waters;Those waters that rise and fall in a predictable and measurable rhythm or cycle due to the gravitational pulls of the moon and sun.
526810;what is the price of a barrel of oil;The price of a barrel of oil is $30.28.
527462;how is oil thickness determined;No Answer Present.
527818;can you keep a box turtle as a pet;Yes, American box turtles can be beautiful and personable pets.
530030;what is the most common type of debris that litters our oceans;Plastic and synthetic materials are the most common type of debris that litters our oceans. 
531621;who's causing the acidification of the oceans?;It is caused primarily by uptake of carbon dioxide from the atmosphere.
534302;what should the water temp be for a turtle;The required water temperature for the turtle is 78 Degree Fahrenheit or 25.5 Degree Celsius.
534307;where do leatherback sea turtles live;Maryland, Bangladesh, Europe, Japan, southeast Asia and Guyana North american.
534731;how much does a fl box turtle weigh;No Answer Present.
540790;what solution the issue causing the ocean acidification?;It is caused by the uptake of anthropogenic carbon dioxide (CO2) from the atmosphere.
542288;how big are snapping turtles when they hatch;A quarter
543774;where to find sea turtles;It is located along the sandy beaches and shallow coastal waters of Australia.
544868;how often do tides change in a day?;No Answer Present.
545323;how long do turtles live;80-100 years or more
548767;how does an ocean form;The oceans on Earth formed from water vapor that was accumulated in the atmosphere.
553283;what is ocean thermal energy conversion?;No Answer Present.
553535;how do minerals make their way to the ocean;No Answer Present.
554455;what is the average salinity of the world ocean;The average salinity of the world ocean is 3.5% or 35 parts per thousand.
556857;where do neap tides occur;When the sun and moon are at right angles to each other, the solar tide partially cancels out the lunar tide and produces moderate tides known as neap tides.
557705;what is the largest sea;The South China Sea
558230;where are coral reef located;Coral reefs are located along the eastern shores of the land.
559975;when is sea turtle nesting season in georgia?;In Georgia, sea turtle nesting season is in mid-July.
562060;what is synthetic oil;A lubricant consisting of chemical compounds that are artificially made synthesized synthetic lubricants.
562522;what was oil first used for and what did they use for an alternate source;oil was first used for a drill. use for an alternate source is Fuels.
562688;why is it called brent oil;Brent crude is a light sweet crude from the North Sea that is an established “brand” and trading blend of many North Sea oils.
562806;what is oceanus procellarum area;Oceanus Procellarum is a vast lunar mare on the western edge of the near side of the Moon, it is the largest of the maria, stretching more than 2,500 km across its north-south axis and covering roughly 4,000,000 square kilometres.
564322;does turtles carry diseases;Yes
564467;what is viscous oil?;No Answer Present.
565329;what is the ionian sea;An arm of the Mediterranean Sea between western Greece and southern Italy.
566615;what is paraffin oil;A colourless, flammable, oily liquid similarly obtained and used as fuel, especially kerosene.
566624;what is the phylum for corals;Cnidaria
567872;what is the price of oil;The price of oil is around $110 a barrel.
568510;what motion of the seafloor is responsible;Mid-Atlantic Ridge
569027;why quench metal in oil;No Answer Present.
570343;how do we utilize oil;It is used to  power our airplanes, cars, and trucks, to heat our houses, and to make things like medicine and plastics.
570415;why does saudi arabia prop up oil price;Because Saudi Arabia benefits in the long run with estimated currency reserves of about $700 billion, allowing it to bear current low oil prices for a few more years. And Low oil prices also give Saudi Arabia political power over other oil exporting countries that are its political rivals.
570670;how much does world oil refining pay;No Answer Present.
571247;which ocean is punta cana on;Punta Cana is on the Atlantic ocean.
571388;define waves of sea;No Answer Present.
573324;what is the total magnifying power if you have the oil immersion objective lens in place;No Answer Present.
574486;where is the largest offshore reserve;The largest offshore reserve is located in Saudi Arabia. 
574846;who created the ocean model for leadership?;No Answer Present.
575256;what is the spotted turtle's role in the ecosystem;Moves carbon to deeper ocean areas through the carbon cycle.
575388;how ocean waves work;Waves start out in the deep, open ocean as relatively vertical in shape, Presnell said. As a wave travels toward the shore, though, the bottom part of the wave drags along the ocean floor. The upper part of the wave above the water line starts to move faster than the rest of the wave. As the ocean depth decreases closer to shore, the drag on the wave's bottom becomes stronger, and the upper part of the wave begins to tilt forward.
576391;where is the navigator of the seas;No Answer Present.
577739;what is oud oil;Oud oil is distilled from agarwood, and fetches high prices depending on the oil's purity.
578119;where is sargasso sea?;The Sargasso Sea is located entirely within the Atlantic Ocean.
578397;where is whip coral harvested;Typical harvesting areas for whip coral include the Americas, Europe and Asia, including China, Japan, Korea and Philippines.
578694;where do turtledoves come from;No Answer Present.
580159;world's largest oil and gas companies;PetroChina is the world's largest oil and gas company.
580650;words that describe ocean waves;No Answer Present.
581148;what is the fastest sea animal in the world;The Atlantic Sailfish or Istiophorus albicans is the fastest sea animal in the world.
581812;can the ocean  be described as cerulean;No Answer Present.
583052;what is synthetic oil for;As a substitute for lubricant refined from petroleum when operating in extremes of temperature.
586430;what is the temperature of the ocean;Surface water temperatures high as 80° Fahrenheit.
587984;what turtles eat;An aquatic turtle will eat insects,Wild turtles typically eat a lot of plants that grow in the water, small insects, snails, worms, and even dead marine animals and fish.
588198;what is the difference between an ocean and a sea?;A sea is a large body of saline water that may or may not be connected to an ocean, though commonly these are and Oceans are large bodies of water that exist on the Earth.
589376;why do companies dump waste in the ocean;No Answer Present.
590233;distance to the horizon at sea;No Answer Present.
591527;what were some of the consequences for the us of the 1973 oil embargo;The embargo led to a 30% decrease in the production of oil in Saudi Arabia and Kuwait. Both countries treated their exports to the US and Holland as extra cuts above the original cuts.
592329;what is the largest sea in the world;Philippine sea
592660;where is the amundsen sea;The Amundsen Sea is in the Southern Ocean off Marie Byrd Land in western Antarctica.
593259;what percentage of earth's water is located in oceans?; 97.5 percentage of earth's water is located in Oceans.
594124;what kind of skin does a turtle have;Some Turtles have leathery shells, a type of thick skin and some Turtles have hard scutes.
596719;what ocean is hong island in;No Answer Present.
596720;what natural materials form oil;Crude oil originates from ancient fossilized organic materials, such as zooplankton and algae.
596879;why is ocean salty;Ocean is salty because water flows in rivers, it picks up small amounts of mineral salts from the rocks and soil of the river beds.
597439;where do mid-ocean ridges and ocean trenches form;No Answer Present.
597915;what kind of legs do sea turtles have;It has four chunky legs.
598814;what temperature must it be for box turtles to be hungry;No Answer Present.
599135;what is seas;A sea is a large body of salt water that is surrounded in whole or in part by land.
600975;what sedimentary rock is formed by evaporation of seawater?;No Answer Present.
601689;where is petroleum found on earth;Petroleum is found from beneath the surface of the earth.
601727;average depth for oil drilling;Average depth for oil drilling is 11,800 feet.
601792;where in the world does the most amount of heat enter the oceans? what is the source of the heat?;No Answer Present.
602571;what natural cause caused the sea level to rise;Global warming
602726;what is periscope ocean;A periscope is 5 feet above the surface of the ocean.
603557;what is the largest oceanic plateaus in the world;Tibetan Plateau
603811;where can crude oil be found;Earth's crust
605161;what makes a sea a sea;A sea is part of the ocean partially enclosed by land. Seas are found on the margins of the ocean and are partially enclosed by land.
606643;where are spotted turtles from;Spotted turtles are from Northern Florida, Georgia, South Carolina, North Carolina, Virginia, Maryland, Delaware, New Jersey, New York, Massachusetts, Connecticut, Rhode Island, southern New Hampshire, southern Vermont and Southern Maine.
606720;who is turtle boy;Turtle boy is Didier.
606912;who makes tanks for the oil fields;Stewart Tank Company & Oilfield Supply Inc
607167;definition of ebb tide;Ebb tide means the flowing back of the tide to a lower level as the water returns to the sea.
607687;who signs a memo of oil and gas lease;No Answer Present.
609048;what kind of medicine is made from seahorses;Traditional Medicines are made from seahorses.
610027;when does a neap tide occur;When the Moon's and Sun's gravitational forces form a 90-degree angle with respect to the Earth. Neap tides happen during the first and third quarter moons.
611081;what is the biggest creature in the ocean?;The biggest creature in the ocean is Blue Whale.  
613604;what is the difference between an ocean and sea;An ocean is: a large body of water constituting a principal part of the hydrosphere. And oceans are the largest division of open water. A sea is: a division of an ocean or a large body of salt water partially enclosed by land.
614374;how did standard oil violate antitrust law;No Answer Present.
615828;what type of air pollution is created by the Canadian oil sands;No Answer Present.
617325;cost of moving an oil rig;No Answer Present.
620939;why is some ocean water turquoise;Because of the absence of phytoplankton and particles in the water.
621185;what is the symbol of turtles;Symbol of perseverance and resilience.
624588;what is the ocean conveyor belt;It is a constantly moving system of deep-ocean circulation driven by temperature and salinity.
624759;what is the common brain coral's habitat;Brain coral is in the Dry Tortugas, Florida.
625275;where are ocean trenches located;Ocean trenches are located in the Mariana Islands.
625821;why does tidal volume increase with obstruction;No Answer Present.
625856;are all marine batteries deep cycle;Yes, all are deep-cycle batteries that can meet all your marine power needs.
627161;why is oil abundant in southwest asia?;No Answer Present.
628643;what is the group of family of sea turtles called;leatherback sea turtle, green sea turtle, loggerhead sea turtle, Kemp's ridley sea turtle, hawksbill sea turtle, flatback sea turtle and olive ridley sea turtle.
632173;why was ocean cleanup founded;The Ocean Cleanup was founded to rid the world’s oceans of plastic.
632528;what pet turtles eat;Mealworms, crickets or small goldfish, turtle pellets, leafy greens, fruits and vegetables.
633368;what is the biggest sea animal;Blue whale
633373;how do oil spills affect penguins;Their feathers will lose its way to insulate the body, resulting in hypothermia. The birds may even swallow the oil when trying to clean their feathers that could lead to poisoning.
633609;where do soft corals grow;Soft corals grow in parts of the reef with the greatest current.
633982;where are corals found;Corals are found in the Indo-Pacific includes most of the Indian Ocean,the western Pacific, The Wider Caribbean or tropical western Atlantic includes Florida, The Bahamas, Caribbean Sea proper, and coastal waters off northeastern S. America.
634247;what percentage of oil does us import;9 million barrels per day
634404;WHY DO ACAN CORALS CLOSE;No Answer Present.
634728;what is the average air pressure at sea level in megapascals;No Answer Present.
636690;what's the tide;Tides are the rise and fall of sea levels caused by the combined effects of the gravitational forces.
638508;what is the scientific name of a sea turtle;The scientific name of a sea turtle is Cheloniidae.
638914;where is the khain sea;No Answer Present.
640352;where are deep sea trenches sites;Deep-sea trench, also called oceanic trench , any long, narrow, steep-sided depression in the ocean bottom in which occur the maximum oceanic depths, approximately 7,300 to more than 11,000 metres (24,000 to 36,000 feet). They typically form in locations where one tectonic plate subducts under another.
641667;causes of ocean tides;Ocean tides happen when the moon pulls the ocean on the near side of the earth more than it pulls on the center of the earth. 
642981;who said who rules the seas rules the world;No Answer Present.
643102;when do sea turtles nest and hatch in south beach;During the summer months.
643494;what zoning is turtle ridge irvine;No Answer Present.
646692;why does a sea breeze form?;"A sea breeze or onshore breeze is any wind that blows from a large body of water toward or onto a landmass; it develops due to differences in air pressure created by the differing heat capacities of water and dry land."
646724;which boundaries can seafloor created;Seafloor creates divergent boundaries.
649709;what's the definition of deep sea;No Answer Present.
651114;how is sea level rise measured;The standard method of measuring is by means of instruments called tide gauges. Gauges exist in many ports and harbours around the world, and record the height of the rising and falling tide relative to a reference level, called a benchmark, on the land nearby. A time-averaged value of sea level so recorded is often used to define a national geodetic datum.
652918;what is the average lifespan of a mi snapping turtle;No Answer Present.
654984;what is the scientific classification of a freshwater snapping turtle;No Answer Present.
655032;what kingdom is the eastern box turtle in;No Answer Present.
655795;what two processes can be found at an ocean trench;No Answer Present.
660190;what is ocean topography;Ocean topography is the distance between the height of the ocean surface from the geoid.
660218;what's the definition of turtle;The turtle is often associated with myths of creation, in which it is seen as a support for the world.
661445;definition of surface ocean currents;A warm ocean current that flows along the equator from the date line and south off the coast of Ecuador at Christmas time.
662071;what is the falkland ocean current;The Falkland Islands are positioned in both the southern and western hemispheres. They're located in the South Atlantic Ocean.
662720;what is the turtle a symbol of in india;No Answer Present.
662980;why is different phytoplankton from seaweed;No Answer Present.
663074;what ocean is the biggest;The biggest ocean is the Pacific Ocean.
663257;what is the speed of sound in air at sea level?;The speed of sound in air at sea level is 761 miles per hour.
663527;what is the a family of sea turtles called;Cheloniidae
664182;can you have a pet turtle in tennessee;No
665192;when are neap tides formed;When the earth, sun and moon form a right angle.
667974;what is seafloor spreading;Seafloor spreading is a process that occurs at mid-ocean ridges, where new oceanic crust is formed through volcanic activity and then gradually moves away from the ridge.
668260;what is unique about seaweed;1 Nori seaweed has the highest amount of protein compared to the other types. 2 Wakame has the highest amount of calcium. 3 Sea Lettuce is very high in iron. 4 Hijiki is high in calcium and fiber.
670765;are pond turtles omnivores herbivores or carnivores;No Answer Present.
674369;how old can a sea turtles live;They can live 60 or more years depending on species.
678163;definition of deep ocean trench;Deep oceanic trench is any long, narrow, steep sided depression in the ocean bottom in which occur the maximum oceanic depths.
678733;how long do turtles mate;For sea turtles until they are at least 12 years of age, except the Hawksbill turtle. Their sexual maturity may range from as early as three years.
685851;how long can turtles live;Turtles can live for 80 to 100 years or even more.
687043;different types of ocean seaweed;The simplest of the seaweeds are among the cyanobacteria, formerly called the blue-green algae, and green algae (division Chlorophyta), found nearest the shore in shallow waters and usually growing as threadlike filaments, irregular sheets, or branching fronds.
688829;difference between sea and swell;Sea is a description of the wind waves raised by the wind in the immediate neighborhood of the place of observation at the time of observation and swell is a description of the ocean waves that are not raised by the local wind.
689101;how does wave and tidal energy work;Wave energy can power the turbine if waves rise to a chamber and force the air out from there.In this ways moving air can spin the turbine and energy of tides that come into the shore, these tides can be trapped in a dam and electricity can be generated by operating dam as regular hydroelectric power plant. 
696770;graph of sea level rise;No Answer Present.
698518;can coastal tides cause strong currents;No Answer Present.
702890;how long do freshwater turtles live;No Answer Present.
705074;amount of dissolved oxygen in different zones of the ocean;No Answer Present.
706654;different kinds of coral reefs;The different kinds of coral reefs are fringing, barrier, and atoll.
707268;how do ocean basins form;Ocean basins were formed from volcanic rock that was released from fissures located at the mid-oceanic ridges.
707646;difference between tides and waves;Tides are the rise and fall of sea level while waves are actually energy that moves across the surface of the water.
710331;what is a ebb tide;Ebb tide is a seaward flow in estuaries or tidal rivers during a tidal phase of lowering water level.
710396;what is a tidal day;A tidal day is of, relating to, caused by, or having tides, tidal cycles tidal erosion or periodically rising and falling or flowing and ebbing tidal waters.
711295;what is a sea;A sea is a large body of salt water that is surrounded in whole or in part by land.
716130;what is the largest coral reef in the world?;The Great Barrier Reef is the largest coral reef in the world.
717819;where is the tidal range the greatest;The greatest tidal range is in the Bay of Fundy.
719903;what is the world record for diving;Ahmed Gabr sets new world-record SCUBA dive at 1,090 ft.
719997;who made the theory of seafloor spreading;Harry Hess made the theory of seafloor spreading.
720087;what is seaweed made out of;Seaweed is made out of algae.
720915;what type of rock is found under the ocean;Basalt rock is found under the ocean.
722734;deep water waves definition;The water is deeper than 1/2 the wavelength of the waves.
724643;biggest tide change in the world;The highest tides in the world can be found in Canada at the Bay of Fundy, which separates New Brunswick from Nova Scotia.
724821;age of reproductive maturity of turtles;The age of reproductive maturity of turtles is 20 to 50 years.
726673;description of the coral reef biome;The coral reef biome is located within the ocean but is separate from the ocean biome. It is located in a shallow, clear portion of the ocean in mostly tropical areas. These areas include the coasts of East Africa, South India, Australia, Florida, the Caribbean, and Brazil.
733648;where do snapping turtles live;Snapping turtles live in North America.
733955;how do box turtles mate;No Answer Present.
734745;what is the force that pulls the tides;The moon Gravity is the force that pulls the tides.
734842;which process of the hydrological cycle is maintained by the ocean's large surface area?;Evaporation is the process of the hydrological cycle is maintained by the ocean's large surface area.
736107;what type of rock are mid-ocean ridges made of;The mid-ocean ridges are made of basalt.
737080;what is the spiritual meaning of seaweed;The spiritual meaning of a seaweed is to rely on your intuition and trust your instincts.
738108;Explain why oil is a nonrenewable resource.;Because once you have used it,it never comes back.
739548;difference between upstream and downstream oil and gas;Upstream operations deal primarily with the exploration stages of the oil and gas industry, with upstream firms taking the first steps to first locate, test and drill for oil and gas. Whereas, The downstream oil sector is a term commonly used to refer to the refining of crude oil, and the selling and distribution of natural gas and products derived from crude oil.
740177;describe the habitat of the sea turtle;The habitat of the sea turtle is the coastal regions of sandy beaches includes areas of North America, South America, Central America, India, South Africa, and Australia.
740372;what are coral reefs used for;They are often considered the medicine cabinets of the 21st century.
740819;what are the effects of tides on earth;The Moon affects tides on Earth through gravity. The Sun also affects Earth's tides, but not as much due to its greater distance from the Earth. It's not the simple force of attraction that makes the tides, but the difference in the attractive force on the opposite sides of the Earth.
740858;what causes worms in turtles;Unsanitary environmental conditions.
740907;What do turtles eat;snails slugs earthworms wild blackberries and strawberries insects like grasshoppers and crickets mushrooms and carrion.
741349;how do snapping turtles reproduce;They begin courtship by facing one another and moving their heads from side to side. Mating begins with the male mounting the female and adjusting his tail beneath the female's to allow the cloacal openings to touch.atchlings will emerge from their soft shells 55 to 125 days after the mama snapping turtle lays the eggs.
742019;what do common snapping turtles eat;Aquatic plants, fish, frogs and tadpoles, salamanders, insects, snails, leeches, worms, snakes, small mammals, and baby ducks and goslings.
743163;about what percent of earth's water can be found in the oceans;About 96.5 percent of all Earth's water can be found in the oceans.
744193;what is the loggerhead sea turtle hunted for;The loggerhead sea turtle hunted for eggs and for leather.
744839;what Phylum do coral belong to?;Class of anthozoa of phylum.
744969;what is the taxonomy of sea turtles;Amphibians
745073;where can the annular seabream be found;The annular seabream can be found in Mediterranean sea.
748271;distillation seawater process;Desalination or desalinization is a process that removes minerals from saline water. More generally, desalination may also refer to the removal of salts and minerals, as in soil desalination, which also happens to be a major issue for agricultural production.
748407;normal sea level pressure in millibars;1013.3 millibars
748489;how big do softshell turtles get;No Answer Present.
748811;definition for oceanology;Oceanology means the branch of science dealing with physical and biological aspects of the oceans.
749083;what does a turtle symbolize;Turtles symbolize begginngs and endings. The tops of their shells represent heaven and the bottom part earth.
749148;what are ocean trenches;Ocean trenches have relatively steep sides falling to the ocean floor. Ocean trenches are typically caused when an oceanic crustal plate slides under a lighter continental plate or another oceanic plate.
751398;what are the benefits of seaweed kelp;Provide Vitamin A ,Vitamin C, Vitamin E and Vitamin K, niacin, folate, choline, potassium, magnesium, iron and zinc among other minerals.
752067;where is jaywick on sea;Jaywick is a seaside village in the Tendring district of Essex, England, 2 miles (3.2 km) west of Clacton-on-Sea.It lies on the North Sea coast of England, 60 miles (97 km) from London and 17 miles (27 km) from Colchester.
758377;cortana how old is a turtle;A turtle age is 15 in human years after its first year and then 25 years old when it's 2, and then it adds on four every year.
759732;how much oxygen comes from the ocean;50 to 70 percentage of oxygen comes from the ocean.
759897;how do artificial reefs promote biodiversity;No Answer Present.
767059;deep cycle marine battery definition;A lead acid battery designed to be regularly deeply discharged using most of its capacity.
769341;definition of tides;The rise and fall of sea levels.
769630;how much pressure does the earth's atmosphere exert at sea level;At sea level the amount of pressure exerted by the Earth's atmosphere is about 14.7 pounds per square inch.
771332;describe variations in salinity through the ocean;The continuous input of fresh water from rivers, precipitation of rain and snow, and melting of ice. Evaporation of ocean water and formation of sea ice both increase the salinity of the ocean.
773161;effect of environmental changes to coral bleaching;Drive large shifts in fish communities.
773588;how can downwelling affect the ocean water around the poles?;When wind causes surface water to build up along a coastline and the surface water eventually sinks toward the bottom. Water that rises to the surface as a result of upwelling is typically colder and is rich in nutrients.
774464;how big can a snapping turtle grow;18 inches long
774833;Hidden cost of giant Australian coal mine;No Answer Present.
777250;how much of the earth surface is covered by oceans?;About 70% of the earth surface is covered by oceans.
778735;biggest aquarium;The Georgia Aquarium in Atlanta.
779442;how big does the common snapping turtle get;Snapping turtle will grow to 18 inches long, and they can weigh up to 45 pounds.
779686;definition of deep sea trench;Deep-sea trench defined as any long, narrow, steep-sided depression in the ocean bottom in which occur the maximum oceanic depths, approximately 7,300 to more than 11,000 metres.
782759;history of the salt flats;The Bonneville Salt Flats of the western Great Salt Lake Desert were formed through the evaporation of the Pleistocene-era Lake Bonneville. The salt flats are actually the bed of that once massive lake which rivaled in size present Lake Michigan. The flats are composed mainly of potash salts ranging in thickness from less than one inch to six feet.
785455;how long can a box turtle live;A box turtle can live 40 years or more.
785738;how can you tell the age of a turtle;Finding the size or weight of a turtle is a next step to determine its age.
786255;how big do box turtles get;Box turtles grows 5 to 6 inches.
788220;what causes clear color lines in ocean water;No Answer Present.
788320;what causes the tide to come in and out;Caused by the gravitational attraction of the moon and the earth.
789298;what do land turtles eat on islands;No Answer Present.
790170;what does a oceanographer do;An oceanographer is a trained scientist who studies the various physical properties and processes of oceans.
790195;how much dha in seaweed;No Answer Present.
790566;what are the turtles called on galapagos;The Galapagos tortoise is proverbial because of its longevity, and only a few people know that it never gets old.
791866;what is apogean tides;No Answer Present.
791887;what domain do turtles belong to;Turtle belongs to the domain eukarya.
792470;measurement of salinity in seawater;No Answer Present.
793449;largest raised coral reef in the world;The Great Barrier Reef is the largest raised coral reef in the world.
793960;how long does turtles live for;Tortoise from Galapagus Islands can live more than 200 years, American box turtle live for over 100 years old, And sea turtles live for 75 years or more.
